,Variable Name,Description,Source
31,cf20m128,Do you think you will have (more) children in the future? 2020,Focal person data
32,cf19l128,Do you think you will have (more) children in the future? 2019,Focal person data
33,cf18k128,Do you think you will have (more) children in the future? 2018,Focal person data
34,cf20m128_PartnerSurvey,Partner’s response to “Do you think you will have (more) children in the future?” 2020,Partner data
35,cf19l128_PartnerSurvey,Partner’s response to “Do you think you will have (more) children in the future?” 2019,Partner data
36,cf20m129,How many [more] children do you think you will have in the future? 2020,Focal person data
37,cf19l129,How many [more] children do you think you will have in the future? 2019,Focal person data
38,cf18k129,How many [more] children do you think you will have in the future? 2018,Focal person data
39,cf20m129_PartnerSurvey,Partner’s response to “How many [more] children do you think you will have in the future?” 2020,Partner data
40,cf19l129_PartnerSurvey,Partner’s response to “How many [more] children do you think you will have in the future?” 2019,Partner data
41,cf20m130,"Within how many years do you hope to have your (first/next) child? If [you and your partner / you] are currently expecting a child, please enter a zero (0). 2020",Focal person data
42,cf19l130,"Within how many years do you hope to have your (first/next) child? If [you and your partner / you] are currently expecting a child, please enter a zero (0). 2019",Focal person data
43,cf18k130,"Within how many years do you hope to have your (first/next) child? If [you and your partner / you] are currently expecting a child, please enter a zero (0). 2018",Focal person data
44,cf20m130_PartnerSurvey,"Partner’s response to “Within how many years do you hope to have your (first/next) child? If [you and your partner / you] are currently expecting a child, please enter a zero (0).” 2020",Partner data
45,cf19l130_PartnerSurvey,"Partner’s response to “Within how many years do you hope to have your (first/next) child? If [you and your partner / you] are currently expecting a child, please enter a zero (0).” 2019",Partner data
46,cf20m166,How satisfied are you with your situation as a single? An 11-point scale,Focal person data
47,cf20m180,How satisfied are you with your current relationship? An 11-point scale from 2020,Focal person data
48,cf19l180,How satisfied are you with your current relationship? An 11-point scale from 2019,Focal person data
49,cf20m181,How satisfied are you with your family life? An 11-point scale from 2020,Focal person data
50,cf19l181,How satisfied are you with your family life? An 11-point scale from 2019,Focal person data
51,cf20m454,Did you ever have children? 2020,Focal person data
52,cf19l454,Did you ever have children? 2019,Focal person data
53,cf18k454,Did you ever have children? 2018,Focal person data
54,cf20m454_PartnerSurvey,Partner’s response to “Did you ever have children?” 2020,Partner data
55,cf19l454_PartnerSurvey,Partner’s response to “Did you ever have children?” 2019,Partner data
56,cf20m455,Number of living children in 2020,Focal person data
57,cf19l455,Number of living children in 2019,Focal person data
58,cf18k455,Number of living children in 2018,Focal person data
59,cf20m455_PartnerSurvey,Partner’s number of living children in 2020,Partner data
60,cf19l455_PartnerSurvey,Partner’s number of living children in 2019,Partner data
61,cf20m456,Birth year of first child,Focal person data
62,cf20m456_PartnerSurvey,Birth year of partner’s first child,Partner data
63,year_relationship_began20,Coalescing cf[08a--20m]028,Focal person data
64,year_relationship_began19,Coalescing cf[08a--19l]028,Focal person data
65,year_relationship_began18,Coalescing cf[08a--18k]028,Focal person data
66,most_recent_child20,Coalescing birth years from cf20m[456--470],Focal person data
67,most_recent_child19,Coalescing birth years from cf19l[456--470],Focal person data
68,most_recent_child18,Coalescing birth years from cf18k[456--470],Focal person data
69,most_recent_child20_PartnerSurvey,Coalescing birth years from cf20m[456--470] for partner,Partner data
70,most_recent_child19_PartnerSurvey,Coalescing birth years from cf19l[456--470] for partner,Partner data
71,child_feeling,Warm feelings toward one’s oldest child on a 7-point scale based on cf20m[513-521]. Example item: I am very fond of my [son/daughter].,Focal person data
72,ch20m004,Self health description on a five-point scale.,Focal person data
73,ch20m219,Had contact with gynecologist over the last 12 months,Focal person data
74,ch20m219_PartnerSurvey,Partner had contact with gynecologist over the last 12 months,Partner data
75,cr20m162,Religiosity on a 4-point scale,Focal person data
76,gendered_religiosity,"Measured in 2018, a 3-point scale based on cr18k[101--105]. Example item: Does a wife have to do what her husband asks of her?",Focal person data
77,traditional_motherhood,"Level of belief in traditional views on motherhood, a 5-point scale based on cv20l[109--111]. Example item: A working mother’s relationship with her children can be just as close and warm as that of a non-working mother",Focal person data
78,traditional_fatherhood,"Level of belief in traditional views on motherhood, a 5-point scale based on cv20l[112--115]. Example item: Both father and mother should contribute to the family income.",Focal person data
79,traditional_marriage,"Level of belief in traditional views on marriage, a 5-point scale based on cv20m[124--130]. Example item: Married people are generally happier than unmarried people.",Focal person data
80,traditional_fertility,Level of beliefs in traditional views on fertility. A 5-point scale based on cv10c[135--138]. Measured in 2010. Example item: Your life is not complete if you haven’t had children.,Focal person data
81,working_mother,"Level of approval towards mothers working on a 3-point scale, based on cv20l[143--146]. Example item: Do you think that women, under the circumstances described below, should be able to have a full-time job, a part-time job, or no job at all? If she has a baby (a child younger than 1 year).",Focal person data
82,sexism,"Level of sexist beliefs, a 5-point scale based on cv20l[151--154]. Example item: A woman is more suited to rearing young children than a man.",Focal person data
83,time_shifted_data,Indicator variable of time shift data augmentation,
84,partner_survey_available,Indicator variable of partner linkage,
